Brig, 3900, undefined, undefined,
Zürich, 8055, undefined, undefined,
Gümmenen, 3205, undefined, undefined,
Oensingen, 4702, 21.43970, 92.00960,
Zweisimmen, 3770, 46.55771, 7.37803,
Horw, 6048, 47.02053, 8.32231,
Sigigen, 6019, undefined, undefined,
Gossau, 9201, 23.11490, 89.32220,
Eschenz, 8264, undefined, undefined,
Semsales, 1623, 46.57187, 6.93042,
Röthenbach, 3373, undefined, undefined,
Gross, 8841, undefined, undefined,
Oberthal, 3531, 23.34840, 91.05830,
Sörenberg, 6174, 46.81101, 8.03870,
Unterstammheim, 8476, undefined, undefined,
Dallenwil, 6383, 46.91123, 8.36272,
Brugg, 5200, undefined, undefined,
Murzelen, 3034, undefined, undefined,
Ruswil, 6017, 34.91778, 33.63640,
Stierva, 7459, undefined, undefined,
Waldkirch, 9205, undefined, undefined,
Menznau, 6122, undefined, undefined,
Walenstadt, 8880, 47.12338, 9.31508,
Erstfeld, 6472, 46.82100, 8.64838,
Dussnang, 8374, undefined, undefined,
Häggenschwil, 9312, undefined, undefined,
Staffelbach, 5053, 47.29103, 8.03729,
Grosswangen, 6022, undefined, undefined,
Schwanden, 3657, 46.73640, 7.71780,
