"Anlage_Energieträger","Anlagentyp","Leistung [kW]","Anlage_Inbetriebnahme","PLZ","Ort","Anlage_Kanto"
"Photovoltaik","Integrierte Anlage","196.9","05.10.11","8497","Fischenthal","ZH"
"Photovoltaik","Integrierte Anlage","197.4","27.08.08","5512","Wohlenschwil","AG"
"Photovoltaik","Angebaute Anlage","197.5","31.07.12","8404","Winterthur","ZH"
"Photovoltaik","Angebaute Anlage","197.8","24.06.09","3111","Tägertschi","BE"
"Photovoltaik","Angebaute Anlage","197.9","07.05.09","3629","Kiesen","BE"
"Photovoltaik","Angebaute Anlage","198","17.02.12","8307","Effretikon","ZH"
"Photovoltaik","Angebaute Anlage","198.4","27.02.15","6022","Grosswangen","LU"
"Photovoltaik","Integrierte Anlage","198.5","23.08.12","6222","Gunzwil","LU"
"Photovoltaik","Integrierte Anlage","199.6","01.10.11","3148","Lanzenhäusern","BE"
"Photovoltaik","Angebaute Anlage","199.7","13.12.16","9205","Waldkirch","SG"
"Photovoltaik","Integrierte Anlage","199.7","16.09.11","1717","St. Ursen","FR"
"Photovoltaik","Angebaute Anlage","200","02.10.13","7013","Domat/Ems","GR"
"Photovoltaik","Angebaute Anlage","200","29.02.12","1730","Ecuvillens","FR"
"Photovoltaik","Angebaute Anlage","200","31.03.15","1584","Villars-le-Grand","VD"
"Photovoltaik","Angebaute Anlage","200","21.12.11","3186","Düdingen","FR"
"Photovoltaik","Integrierte Anlage","200.2","24.09.12","6022","Grosswangen","LU"
"Photovoltaik","Angebaute Anlage","200.3","10.03.15","3456","Dürrenroth","BE"
"Photovoltaik","Angebaute Anlage","200.4","07.12.11","4624","Härkingen","SO"
"Photovoltaik","Integrierte Anlage","200.6","02.10.12","1325","Vaulion","VD"
"Photovoltaik","Angebaute Anlage","200.7","09.12.14","6030","Ebikon","LU"
"Photovoltaik","Angebaute Anlage","200.7","24.08.12","4310","Rheinfelden","AG"
"Photovoltaik","Integrierte Anlage","200.8","17.12.13","1323","Romainmôtier","VD"
"Photovoltaik","Angebaute Anlage","200.9","31.03.15","3053","Münchenbuchsee","BE"
"Photovoltaik","Angebaute Anlage","201","27.02.12","3127","Mühlethurnen","BE"
"Photovoltaik","Angebaute Anlage","201.1","26.03.15","6156","Luthern","LU"
"Photovoltaik","Angebaute Anlage","201.4","24.02.12","8537","Nussbaumen","TG"
"Photovoltaik","Integrierte Anlage","201.5","19.12.12","6048","Horw","LU"
