"Location","Production","Startup",
"Läufelfingen","27.5","2014",
"Wittnau","27.5","2012",
"Wollerau","27.5","2012",
"Mörschwil","27.6","2014",
"Etoy","27.6","2009",
"Waldkirch","27.6","2012",
"Elsau","27.6","2011",
"Freidorf","27.7","2015",
"Gland","27.7","2011",
"Recherswil","27.7","2011",
"Unterstammheim","27.7","2010",
"Arnegg","27.7","2011",
"Niederbüren","27.7","2011",
"Mühlrüti","27.7","2012",
"Davos Clavadel","27.7","2012",
"Küttigen","27.7","2009",
"Thalheim","27.7","2011",
"Seewis Dorf","27.8","2008",
"Sissach","27.8","2014",
"Kappel am Albis","27.8","2012",
"Oberhof","27.8","2015",
"Dornach","27.8","2012",
"St. Gallen","27.8","2012",
"Oberdiessbach","27.9","2012",
"Heitenried","27.9","2008",
"Trübbach","27.9","2008",
"Leuk-Stadt","27.9","2011",
"Horw","27.9","2011",
"Gränichen","2009.11",
"Goldau","2012.09",
"Eschenbach","2011.09",
"Saint-Livres","2009.12",
"Illighausen","2001.15",
"Buttenried","2011.11",
"Zweisimmen","2012.11",
"Grosswangen","2009.12",
"Aesch LU","2007.15",
"Heiden","28.1","2013",
"Meyrin","28.1","2013",
"Grub","28.1","2014",
"Sargans","28.1","2015",
"Enggistein","28.1","2015",
"Menzberg","28.1","2015",
"Birwinken","28.1","2012",
"Berg","28.1","2008",
"Staad","28.1","2013",
"Murzelen","28.1","2013",
"Rüti","28.1","2012",
"Schwanden","28.1","2011",
"Krattigen","28.1","2011",
"Schönengrund","28.1","2012",
"Möriken","28.2","2013",
"Reckingen","28.2","2012",
"Les Mosses","28.2","2009",
"Grandson","28.2","2011",
"Uettligen","28.2","2009",
"Chur","28.2","2011",
"Volketswil","28.2","2011",
"Schöftland","28.2","2011",
"Bettlach","28.2","2011",
"Sirnach","28.2","2011",
"Marthalen","28.2","2011",
"Hundwil","28.2","2013",
"Dussnang","28.3","2015",
"Meilen","28.3","2012",
"Kriessern","28.3","2009",
"Mühlrüti","28.3","2012",
"Röthenbach i. E.","28.3","2012",
"Dielsdorf","28.3","2013",
"Thörigen","28.4","2014",
"Erstfeld","28.4","2009",
"Giubiasco","28.4","2013",
"Calfreisen","28.4","2012",
"Recherswil","28.4","2011",
"Lützelflüh-Goldbach","28.4","2011",
"Hoffeld","28.4","2014",
"Flumserberg Bergheim","28.4","2015",
"Engelberg","28.5","2012",
"Opfershofen","28.6","2015",
"Bischofszell","28.6","2015",
"Gossau","28.6","2011",
"St. Gallen","28.6","2014",
"St. Gallen","28.6","2014",
"Dussnang","28.6","2009",
"Buch bei Frauenfeld","28.6","2013",
"Stierva","28.6","2014",
"Malters","28.6","2016",
"Hölstein","28.6","2014",
"Menznau","28.6","2015",
"Ittigen","28.6","2013",
"Neuenegg","28.7","2008",
"Münsingen","28.7","2011",
"Bern","28.7","2012",
"Kriens","28.7","2010",
"Châtelaine","28.7","2011",
"Lyssach","28.7","2011",
"Bonstetten","28.7","2013",
"Lutzenberg","28.7","2007",
"Cudrefin","28.7","2011",
"Buchen","28.8","2010",
"Homburg","28.8","2013",
"Engwang","28.8","2009",
"Pfäffikon","28.8","2013",
"Turtmann","28.8","2012",
"Yverdon les Bains","28.8","2013",
"Corbeyrier","28.8","2011",
"Lignières","28.8","2011",
"Ortschwaben","28.8","2012",
"Au-Wädenswil","28.8","2013",
"Lupsingen","28.8","2011",
"Wynigen","28.8","2014",
"Jonschwil","28.8","2011",
"Horw","28.8","2011",
"Brugg","28.8","2011",
"Erschwil","28.8","2011",
"Reichenbach im Kandertal","28.8","2011",
"Rosshäusern","28.8","2012",
"Aigle","28.8","2014",
"Stäfa","28.9","2011",
"Flühli","28.9","2011",
"Waltensburg","28.9","2015",
"Niedergesteln","28.9","2009",
"Uettligen","28.9","2013",
"Mümliswil","28.9","2014",
"Graltshausen","28.9","2014",
"Berneck","28.9","2017",
"Gümmenen","2007.09",
"Lyssach","2011.08",
"Donat","2002.09",
"Winterthur","2010.10",
"Lohn-Ammannsegg","2007.10",
"Urnäsch","2008.10",
"Chevroux","2012.11",
"Härkingen","2012.10",
"Walliswil","2011.10",
"Ebnat-Kappel","2007.13",
"Gysenstein","2002.12",
"La Comballaz","2012.11",
"Binningen","2012.11",
"Altstätten","2011.13",
"Teufen","2012.11",
"Küttigen","2001.12",
"Oberegg","2012.11",
"Ennetbürgen","2012.11",
"Schenkon","29.1","2017",
"Oberegg","29.1","2014",
"Niederbuchsiten","29.1","2012",
"Zollikon","29.1","2008",
"Pfaffnau","29.1","2012",
"Lausanne","29.1","2012",
"Malters","29.1","2015",
"Gross","29.1","2010",
"Oberbüren","29.1","2015",
"Birri","29.1","2015",
"Neftenbach","29.1","2015",
"Sent","29.2","2011",
"Meikirch","29.2","2016",
"Schüpfheim","29.2","2015",
"Wislikofen","29.2","2010",
"Mauensee","29.2","2016",
"Renens","29.3","2013",
"Bürglen","29.3","2011",
"Arlesheim","29.3","2012",
"Egg b. Einsiedeln","29.3","2008",
"Grône","29.3","2010",
"Jenins","29.3","2010",
"Ostermundigen","29.3","2011",
"Zweisimmen","29.3","2011",
"Wölflinswil","29.3","2009",
"Gorduno","29.3","2011",
"Urnäsch","29.3","2011",
"Inkwil","29.3","2011",
"Disentis","29.3","2011",
"Kappel","29.3","2013",
"Les Vieux-Prés","29.3","2012",
"Obfelden","29.3","2015",
"Stansstad","29.3","2012",
"Näfels","29.4","2011",
"Malix","29.4","2011",
"Full-Reuenthal","29.4","2012",
"Aigle","29.4","2009",
"Hugelshofen","29.4","2011",
"Lüchingen","29.4","2008",
"Wald","29.4","2012",
"Wettingen","29.4","2012",
"Glattfelden","29.4","2010",
"Guntalingen","29.4","2010",
"Tenna","29.4","2015",
"Grindelwald","29.4","2009",
"Rickenbach","29.4","2015",
"Bellach","29.4","2012",
"Matzingen","29.4","2015",
"Hägendorf","29.4","2012",
"Rebstein","29.4","2012",
"Oberriet","29.4","2015",
"Staufen","29.4","2012",
"Ossingen","29.5","2011",
"Goldiwil","29.5","2009",
"Schmitten","29.5","2012",
"Les Charbonnières","29.5","2012",
"Realp","29.5","2017",
"Scuol","29.5","2014",
"Horgenberg","29.5","2015",
"Erlinsbach","29.5","2016",
"Krauchthal","29.5","2011",
"Untervaz","29.5","2015",
"Bonau","29.5","2015",
"Uetendorf","29.5","2011",
"Trun","29.6","2016",
"Wünnewil","29.6","2011",
"Längenbühl","29.6","2011",
"Unterhörstetten","29.6","2011",
"Maseltrangen","29.6","2012",
"Kleinandelfingen","29.6","2011",
"Luzein","29.6","2011",
"Dietfurt","29.6","2009",
"Klosters","29.6","2010",
"Huttwil","29.6","2011",
"Reichenbach","29.6","2009",
"Berg","29.6","2013",
"Gland","29.6","2013",
"Oberkulm","29.6","2013",
"Rivera","29.6","2011",
"Rivera","29.6","2011",
"Rifferswil","29.6","2014",
"Schüpfheim","29.6","2011",
"Müllheim","29.6","2013",
"Brünisried","29.6","2015",
"Wyssachen","29.6","2011",
"Attiswil","29.6","2012",
"Le Mont-sur-Lausanne","29.6","2011",
"Muttenz","29.6","2011",
"Grasswil","29.6","2011",
"Embrach","29.6","2011",
"Sax","29.6","2016",
"Amden","29.6","2015",
"Grabs","29.6","2015",
"Kriessern","29.6","2015",
"Waldkirch","29.6","2015",
"Wolfwil","29.6","2015",
"Bioggio","29.6","2015",
"Weinfelden","29.6","2012",
"Wettingen","29.6","2015",
"Wettingen","29.6","2015",
"Homburg","29.6","2015",
"Gossau","29.6","2011",
"Grabs","29.6","2011",
"Oberriet","29.7","2012",
"Flums","29.7","2015",
"Auw","29.7","2017",
"Wohlen bei Bern","29.7","2011",
"Küssnacht am Rigi","29.7","2017",
"Neuenkirch","29.7","2016",
"Wilen","29.7","2016",
"Zuzwil","29.7","2017",
"Dussnang","29.7","2011",
"Oberstammheim","29.7","2010",
"Köniz","29.7","2014",
"Basel","29.7","2014",
"Villarlod","29.7","2009",
"Ruswil","29.7","2010",
"Hinterrhein","29.7","2010",
"Mosen","29.7","2015",
"Fischbach-Göslikon","29.7","2010",
"Unterägeri","29.7","2011",
"Vicques","29.7","2016",
"Egnach","29.7","2014",
"Wettswil","29.7","2011",
"Tenero","29.7","2016",
"Mühlethurnen","29.7","2016",
"Kägiswil","29.7","2016",
"Brigels","29.7","2015",
"Brislach","29.7","2011",
"Oeschenbach","29.7","2016",
"Hinwil","29.7","2017",
"Beromünster","29.7","2011",
"Mühlrüti","29.8","2015",
"Dreien","29.8","2014",
"Kirchberg","29.8","2015",
"Eschlikon","29.8","2015",
"Meyrin","29.8","2014",
"Häfelfingen","29.8","2012",
"Henggart","29.8","2011",
"Beatenberg","29.8","2012",
"Esslingen","29.8","2012",
"Orbe","29.8","2011",
"Hefenhofen","29.8","2009",
"Genolier","29.8","2009",
"Wattwil","29.8","2009",
"Bischofszell","29.8","2011",
"Holziken","29.8","2010",
"Dierikon","29.8","2009",
"Kaufdorf","29.8","2011",
"Wichtrach","29.8","2012",
"Grüsch","29.8","2010",
"S-chanf","29.8","2011",
"Schiers","29.8","2010",
"Sent","29.8","2014",
"Laufenburg","29.8","2011",
"Buochs","29.8","2008",
"Chandolin-près-Saviese","29.8","2015",
"Ebnat-Kappel","29.8","2015",
"Kaisten","29.8","2015",
"Untersiggenthal","29.8","2012",
"Balgach","29.8","2015",
"Renan","29.8","2015",
"Dürnten","29.9","2009",
"Wil","29.9","2010",
"Gunten","29.9","2008",
"Benken","29.9","2012",
"Bertschikon","29.9","2011",
