"Ort","Postleitzahl","Installierte Leistung in KW","Inbetriebnahme","ZE-Kanton"
""Saas-Fee"," Wichulti"",,"1.550","1960","Wallis"
"Stalden",,"185.000","1965","Wallis"
""Mossjesee"," Zermatt"",,"0.430","2015","Wallis"
"Zermatt",,"11.300","2002","Wallis"
""Zermatt"," Alterhaupt"",,"2.230","1930","Wallis"
"Zermatt",,"3.400","1949","Wallis"
"Täsch",,"1.650","1992","Wallis"
"St. Niklaus",,"4.700","2015","Wallis"
""Eisten"," VS"",,"1.000","2014","Wallis"
""Törbel"," Gappil"",,"0.490","2010","Wallis"
""Stalden"," Riedji"",,"0.590","1929","Wallis"
""Stalden"," Ackersand"",,"29.200","1909","Wallis"
""Stalden"," Ackersand"",,"64.400","1959","Wallis"
""Vispenterminen"," Chrizji"",,"3.000","2018","Wallis"
""Vispenterminen"," Stundhüs"",,"2.320","2018","Wallis"
"Baltschieder",,"0.330","1994","Wallis"
"Tscherggen",,"0.500","2000","Wallis"
"Unterbäch",,"1.300","2010","Wallis"
"Eischoll",,"0.980","2014","Wallis"
"Unterbäch",,"0.850","1966","Wallis"
"Raron",,"1.060","2007","Wallis"
""Niedergesteln"," Turtig"",,"0.550","2009","Wallis"
"Niedergesteln",,"0.330","2008","Wallis"
"Niedergesteln",,"0.580","2008","Wallis"
"Blatten",,"1.250","2012","Wallis"
"Blatten",,"0.450","1915","Wallis"
"Wiler (Lötschen)",,"1.400","2010","Wallis"
"Ferden",,"0.990","2013","Wallis"
"Steg-Hohtenn",,"122.000","1976","Wallis"
"Oberems",,"0.750","2009","Wallis"
"Oberems",,"8.200","1926","Wallis"
""Oberems"," Meretschialp"",,"0.000","1926","Wallis"
""Turtmann"," Müllacheren"",,"23.900","1925","Wallis"
""Dalaloch"," Leuk-Stadt"",,"13.000","1909","Wallis"
"Chippis",,"47.840","1911","Wallis"
""Grimentz-Lona"," Val de Moiry"",,"1.050","1961","Wallis"
""Ayer"," Mottec"",,"71.000","1958","Wallis"
""Ayer"," Vissoie"",,"50.000","1958","Wallis"
""Ayer"," Vissoie"",,"0.680","1958","Wallis"
"Chippis",,"52.000","1908","Wallis"
"Croix / Ayent",,"66.000","1957","Wallis"
"Chamarin / Ayent",,"1.900","1957","Wallis"
""Crans-Montana"," R. Bourgeoisie"",,"1.050","2017","Wallis"
"Icogne",,"2.000","2012","Wallis"
""St-Léonard"," Mangol"",,"36.000","1956","Wallis"
"St. Léonard",,"0.720","1907","Wallis"
""Hérémence"," Sauterot"",,"5.100","1977","Wallis"
"Hérémence",,"0.600","2012","Wallis"
"Bramois",,"25.200","1915","Wallis"
"Bramois",,"0.430","1953","Wallis"
"Sion",,"150.000","1934","Wallis"
""Siviez"," Cleuson"",,"0.000","1950","Wallis"
"Savièse",,"0.460","2004","Wallis"
"Arbaz",,"0.590","2010","Wallis"
"Savièse",,"0.580","2015","Wallis"
"Savièse",,"0.330","2001","Wallis"
""Vétroz"," Péteille"",,"0.730","2015","Wallis"
"Ardon",,"52.000","1960","Wallis"
"Balavaud / Ardon",,"0.480","1971","Wallis"
"Stafel",,"0.000","1961","Wallis"
"Z'Mutt",,"0.000","1965","Wallis"
"Ferpècle",,"0.000","1964","Wallis"
"Arolla",,"0.000","1963","Wallis"
"Riddes",,""1","285.000"","1999","Wallis"
"Fionnay",,"306.000","1957","Wallis"
"Riddes",,"392.000","1960","Wallis"
"Riddes",,"0.650","2016","Wallis"
"Isérables",,"0.350","2005","Wallis"
""Les Pontets"," Riddes"",,"0.450","2014","Wallis"
