Location,Production,Startup
Heiden,28.1,14.06.13
Meyrin,28.1,16.12.13
Grub,28.1,21.10.14
Sargans,28.1,26.06.15
Enggistein,28.1,29.09.15
Menzberg,28.1,01.06.15
Birwinken,28.1,18.07.12
Berg,28.1,14.03.08
Staad,28.1,05.12.13
Murzelen,28.1,13.12.13
Rüti,28.1,27.09.12
Schwanden,28.1,23.12.11
Krattigen,28.1,02.11.11
Schönengrund,28.1,29.02.12
Möriken,28.2,23.12.13
Reckingen,28.2,27.02.12
Les Mosses,28.2,02.11.09
Grandson,28.2,29.11.11
Uettligen,28.2,01.06.09
Chur,28.2,21.10.11
Volketswil,28.2,11.10.11
Schöftland,28.2,08.07.11
Bettlach,28.2,29.07.11
Sirnach,28.2,30.11.11
Marthalen,28.2,08.12.11
Hundwil,28.2,07.11.13
Dussnang,28.3,30.09.15
Meilen,28.3,18.12.12
Kriessern,28.3,06.10.09
Mühlrüti,28.3,29.09.12
Röthenbach i. E.,28.3,13.07.12
Dielsdorf,28.3,14.10.13
Thörigen,28.4,01.11.14
Erstfeld,28.4,18.12.09
Giubiasco,28.4,18.12.13
Calfreisen,28.4,04.07.12
Recherswil,28.4,06.10.11
Lützelflüh-Goldbach,28.4,21.12.11
Hoffeld,28.4,17.10.14
Flumserberg Bergheim,28.4,24.03.15
Engelberg,28.5,20.06.12
Opfershofen,28.6,25.03.15
Bischofszell,28.6,12.03.15
Gossau,28.6,07.09.11
St. Gallen,28.6,13.11.14
St. Gallen,28.6,13.11.14
Dussnang,28.6,08.01.09
Buch bei Frauenfeld,28.6,17.12.13
Stierva,28.6,27.03.14
Malters,28.6,26.09.16
Hölstein,28.6,28.04.14
Menznau,28.6,27.03.15
Ittigen,28.6,09.09.13
Neuenegg,28.7,15.05.08
Münsingen,28.7,24.08.11
Bern,28.7,27.02.12
Kriens,28.7,17.12.10
Châtelaine,28.7,25.11.11
Lyssach,28.7,09.12.11
Bonstetten,28.7,07.12.13
Lutzenberg,28.7,25.09.07
Cudrefin,28.7,19.07.11
Buchen,28.8,20.12.10
Homburg,28.8,29.05.13
Engwang,28.8,06.08.09
Pfäffikon,28.8,23.04.13
Turtmann,28.8,20.03.12
Yverdon les Bains,28.8,20.12.13
Corbeyrier,28.8,28.12.11
Lignières,28.8,06.12.11
Ortschwaben,28.8,08.12.12
Au-Wädenswil,28.8,23.10.13
Lupsingen,28.8,22.02.11
Wynigen,28.8,20.06.14
Jonschwil,28.8,30.09.11
Horw,28.8,13.12.11
Brugg,28.8,22.12.11
Erschwil,28.8,23.12.11
Reichenbach im Kandertal,28.8,15.12.11
Rosshäusern,28.8,07.12.12
Aigle,28.8,24.03.14
Stäfa,28.9,21.04.11
Flühli,28.9,14.12.11
Waltensburg,28.9,31.03.15
Niedergesteln,28.9,01.01.09
Uettligen,28.9,03.10.13
Mümliswil,28.9,13.08.14
Graltshausen,28.9,09.09.14
Berneck,28.9,24.02.17
Gümmenen,29,24.07.09
Lyssach,29,19.11.08
Donat,29,16.02.09
Winterthur,29,26.10.10
Lohn-Ammannsegg,29,28.07.10
Urnäsch,29,01.08.10
Chevroux,29,19.12.11
Härkingen,29,08.12.10
Walliswil,29,26.11.10
Ebnat-Kappel,29,05.07.13
Gysenstein,29,24.02.12
La Comballaz,29,01.12.11
Binningen,29,15.12.11
Altstätten,29,28.11.13
Teufen,29,15.12.11
Küttigen,29,25.01.12
Oberegg,29,23.12.11
Ennetbürgen,29,05.12.11
Schenkon,29.1,28.03.17
Oberegg,29.1,20.05.14
Niederbuchsiten,29.1,13.08.12
Zollikon,29.1,01.10.08
Pfaffnau,29.1,01.07.12
Lausanne,29.1,20.12.12
Malters,29.1,07.01.15
